Id,LotFrontage,LotArea,LotShape,LandContour,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice,log_price,Bsmt_magnitude,Remod_diff,MSSubClass_encoded,Neighborhood_encoded,MSZoning_encoded,HouseStyle_encoded,LotConfig_encoded,Condition1_encoded,BldgType_encoded,MoSold_encoded,YrSold_encoded,SaleType_encoded,SaleCondition_encoded,Attchd,Detchd,other_garage,RFn,Unf,Fin,Reg,IR1,other_lots,Gable,Hip,other_roofs
12,85.0,11924,IR1,Lvl,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,286.0,10,6,PConc,10,6,2,10,998,0,0,177,1175,GasA,10,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,10,11,Typ,2,BuiltIn,2005.0,Fin,3,736,6,6,Y,147,21,0,0,0,0,0,345000,12.751299696013497,15.524174696260024,0,12.367219037365144,12.622085831179234,12.122790588337043,12.195885308690835,12.03858282628616,12.07938068505317,12.076290736193817,12.08974542005515,12.055883004723798,12.472694032476259,12.459862860584252,0,0,1,0,0,1,0,1,0,0,1,0
14,91.0,10652,IR1,Lvl,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,306.0,8,6,PConc,8,6,6,0,0,0,0,1494,1494,GasA,10,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,8,7,Typ,1,Attchd,2006.0,RFn,3,840,6,6,Y,160,33,0,0,0,0,0,279500,12.540757571577291,11.661903789690601,0,12.089473958411261,12.170908828873328,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.07779547308771,12.074906013798504,12.472694032476259,12.459862860584252,1,0,0,1,0,0,0,1,0,1,0,0
16,51.0,6120,Reg,Lvl,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,6,6,BrkTil,6,6,2,0,0,0,0,832,832,GasA,10,Y,FuseA,854,0,0,854,0,0,1,0,2,1,6,5,Typ,0,Detchd,1991.0,Unf,2,576,6,6,Y,48,112,0,0,0,0,0,132000,11.790557201568507,8.717797887081348,6,11.602958715801812,11.777799561019519,11.730064516463871,11.610506834566412,12.0483455291029,12.07938068505317,12.076290736193817,12.08974542005515,12.074906013798504,12.01580906774792,12.028866723037432,0,1,0,0,1,0,1,0,0,1,0,0
19,66.0,13695,Reg,Lvl,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0.0,6,6,PConc,6,6,2,10,646,0,0,468,1114,GasA,10,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,8,6,Typ,0,Detchd,2004.0,Unf,2,576,6,6,Y,0,102,0,0,0,0,0,159000,11.976659481202368,13.30413469565007,4,12.089473958411261,12.110175412743665,12.122790588337043,12.044707822362533,12.03858282628616,11.823814922401231,12.076290736193817,12.040721736780858,12.058892507914289,12.01580906774792,12.028866723037432,0,1,0,0,1,0,1,0,0,1,0,0
20,70.0,7560,Reg,Lvl,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,0.0,6,6,CBlock,6,6,2,2,504,0,0,525,1029,GasA,6,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,6,6,Min1,0,Attchd,1958.0,Unf,1,294,6,6,Y,0,0,0,0,0,0,0,139000,11.842229212112828,8.94427190999916,44,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,11.996026721745856,12.04822541334727,11.759445652670344,11.809537935756566,1,0,0,0,1,0,1,0,0,0,1,0
21,101.0,14215,IR1,Lvl,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,380.0,8,6,PConc,10,6,6,0,0,0,0,1158,1158,GasA,10,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,8,9,Typ,1,BuiltIn,2005.0,RFn,3,853,6,6,Y,240,154,0,0,0,0,0,325300,12.692503112461443,13.114877048604,0,12.367219037365144,12.622085831179234,12.122790588337043,12.195885308690835,12.0483455291029,12.07938068505317,12.076290736193817,12.105024451611023,12.055883004723798,12.472694032476259,12.459862860584252,0,0,1,1,0,0,0,1,0,1,0,0
22,57.0,7449,Reg,Bnk,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,6,6,PConc,6,6,2,0,0,0,0,637,637,GasA,10,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,8,6,Typ,1,Attchd,1930.0,Unf,1,280,6,6,N,0,0,205,0,0,0,0,139400,11.845102777308561,8.717797887081348,57,11.602958715801812,11.481589810450474,11.730064516463871,11.610506834566412,12.03858282628616,12.07938068505317,12.076290736193817,12.040721736780858,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,0,1,0,1,0,0,1,0,0
23,75.0,9742,Reg,Lvl,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,281.0,8,6,PConc,8,6,2,0,0,0,0,1777,1777,GasA,10,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,8,7,Typ,1,Attchd,2002.0,RFn,2,534,6,6,Y,171,159,0,0,0,0,0,230000,12.345834587905333,10.198039027185569,6,12.089473958411261,12.170908828873328,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.154898366543211,12.058892507914289,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,0,1,0
24,44.0,4224,Reg,Lvl,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,0.0,6,6,PConc,8,6,2,10,840,0,0,200,1040,GasA,6,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,6,6,Typ,1,Attchd,1976.0,Unf,2,572,6,6,Y,100,110,0,0,0,0,0,129900,11.77452020265869,14.317821063276353,31,12.211076913552303,11.529097956285984,11.730064516463871,12.044707822362533,12.03858282628616,12.07938068505317,12.090205681140608,12.040721736780858,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,0,1,0,1,0,0,1,0,0
26,110.0,14230,Reg,Lvl,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,640.0,8,6,PConc,8,6,2,0,0,0,0,1566,1566,GasA,10,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,8,7,Typ,1,Attchd,2007.0,RFn,3,890,6,6,Y,0,56,0,0,0,0,0,256300,12.454103912352162,10.198039027185569,2,12.089473958411261,12.622085831179234,12.122790588337043,12.044707822362533,12.0483455291029,12.07938068505317,12.076290736193817,12.08974542005515,12.04822541334727,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
27,60.0,7200,Reg,Lvl,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,6,6,CBlock,6,6,4,6,234,4,486,180,900,GasA,6,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,8,5,Typ,0,Detchd,2005.0,Unf,2,576,6,6,Y,222,32,0,0,0,0,0,134800,11.811547477460344,11.874342087037917,10,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.0483455291029,12.07938068505317,12.076290736193817,11.996026721745856,12.04297054076434,12.01580906774792,12.028866723037432,0,1,0,0,1,0,1,0,0,1,0,0
28,98.0,11478,Reg,Lvl,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,200.0,8,6,PConc,10,6,2,10,1218,0,0,486,1704,GasA,10,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,8,7,Typ,1,Attchd,2008.0,RFn,3,772,6,6,Y,0,50,0,0,0,0,0,306000,12.631340380934517,15.524174696260024,2,12.089473958411261,12.622085831179234,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,11.996026721745856,12.04297054076434,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
29,47.0,16321,IR1,Lvl,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,0.0,6,6,CBlock,6,6,8,6,1277,0,0,207,1484,GasA,6,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,6,6,Typ,2,Attchd,1957.0,RFn,1,319,6,6,Y,288,258,0,0,0,0,0,207500,12.24288661865289,13.152946437965905,9,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.419782568084697,12.07938068505317,12.076290736193817,12.136763844011679,12.055883004723798,12.01580906774792,12.028866723037432,1,0,0,1,0,0,0,1,0,1,0,0
30,60.0,6324,IR1,Lvl,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,0.0,6,6,BrkTil,6,6,2,0,0,0,0,520,520,GasA,4,N,SBrkr,520,0,0,520,0,0,1,0,1,1,4,4,Typ,0,Detchd,1920.0,Unf,1,240,4,6,Y,49,0,87,0,0,0,0,68500,11.134589024250317,8.717797887081348,58,11.504578088058537,11.777799561019519,11.730064516463871,12.044707822362533,12.03858282628616,11.867578305258728,12.076290736193817,11.996026721745856,12.058892507914289,12.01580906774792,12.028866723037432,0,1,0,0,1,0,0,1,0,1,0,0
31,50.0,8500,Reg,Lvl,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,0.0,6,4,BrkTil,6,6,2,0,0,0,0,649,649,GasA,6,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,6,6,Typ,0,Detchd,1920.0,Unf,1,250,6,4,N,0,54,172,0,0,0,0,40000,10.596634733096073,8.717797887081348,58,11.960115358769507,11.481589810450474,11.171492652609121,12.195885308690835,12.03858282628616,11.867578305258728,12.076290736193817,12.08974542005515,12.058892507914289,12.01580906774792,12.028866723037432,0,1,0,0,1,0,1,0,0,0,0,1
33,85.0,11049,Reg,Lvl,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,8,6,PConc,10,6,6,0,0,0,0,1234,1234,GasA,10,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,8,7,Typ,0,Attchd,2007.0,RFn,2,484,6,6,Y,0,30,0,0,0,0,0,179900,12.100156419938624,13.114877048604,1,12.089473958411261,12.170908828873328,12.122790588337043,12.044707822362533,12.0483455291029,12.07938068505317,12.076290736193817,12.044744404451235,12.058892507914289,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
34,70.0,10552,IR1,Lvl,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,0.0,6,6,CBlock,6,6,2,4,1018,0,0,380,1398,GasA,8,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,8,6,Typ,1,Attchd,1959.0,RFn,2,447,6,6,Y,0,38,0,0,0,0,0,165500,12.016726473799254,9.643650760992955,51,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.015857173771163,12.04297054076434,12.01580906774792,12.028866723037432,1,0,0,1,0,0,0,1,0,0,1,0
35,60.0,7313,Reg,Lvl,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,246.0,10,6,PConc,10,6,2,10,1153,0,0,408,1561,GasA,10,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,10,6,Typ,1,Attchd,2005.0,Fin,2,556,6,6,Y,203,47,0,0,0,0,0,277500,12.533576212168626,15.524174696260024,2,12.211076913552303,12.622085831179234,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.090205681140608,12.07779547308771,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,0,0,1,1,0,0,0,1,0
36,108.0,13418,Reg,Lvl,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,132.0,8,6,PConc,10,6,6,0,0,0,0,1117,1117,GasA,10,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,8,9,Typ,1,BuiltIn,2004.0,Fin,3,691,6,6,Y,113,32,0,0,0,0,0,309000,12.641096555879882,13.114877048604,1,12.367219037365144,12.622085831179234,12.122790588337043,12.195885308690835,12.03858282628616,12.07938068505317,12.076290736193817,12.154898366543211,12.055883004723798,12.01580906774792,12.028866723037432,0,0,1,0,0,1,1,0,0,1,0,0
37,112.0,10859,Reg,Lvl,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,0.0,6,6,PConc,8,6,2,0,0,0,0,1097,1097,GasA,10,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,6,6,Typ,0,Attchd,1995.0,Unf,2,672,6,6,Y,392,64,0,0,0,0,0,145000,11.884489021402711,10.198039027185569,14,12.089473958411261,12.170908828873328,12.122790588337043,12.044707822362533,12.0483455291029,12.07938068505317,12.076290736193817,12.040721736780858,12.04822541334727,12.01580906774792,12.028866723037432,1,0,0,0,1,0,1,0,0,1,0,0
38,74.0,8532,Reg,Lvl,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,6,6,CBlock,6,6,2,4,1213,0,0,84,1297,GasA,8,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,6,5,Typ,1,Attchd,1954.0,Fin,2,498,6,6,Y,0,0,0,0,0,0,0,153000,11.938193200374572,9.643650760992955,19,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.038127315141127,12.04822541334727,12.01580906774792,12.028866723037432,1,0,0,0,0,1,1,0,0,0,1,0
39,68.0,7922,Reg,Lvl,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0.0,6,8,CBlock,6,6,2,10,731,0,0,326,1057,GasA,6,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,8,5,Typ,0,Detchd,1953.0,Unf,1,246,6,6,Y,0,52,0,0,0,0,0,109000,11.59910316121128,13.30413469565007,3,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.044744404451235,12.04297054076434,12.01580906774792,11.809537935756566,0,1,0,0,1,0,1,0,0,1,0,0
41,84.0,8658,Reg,Lvl,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,6,6,CBlock,6,6,2,4,643,0,0,445,1088,GasA,10,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,6,6,Typ,1,Attchd,1965.0,RFn,2,440,6,6,Y,0,138,0,0,0,0,0,160000,11.982929094215963,9.591663046625438,41,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.136763844011679,12.055883004723798,12.01580906774792,11.809537935756566,1,0,0,1,0,0,1,0,0,1,0,0
42,115.0,16905,Reg,Lvl,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,0.0,6,8,CBlock,6,6,8,6,967,0,0,383,1350,GasA,8,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,6,5,Typ,2,Attchd,1959.0,RFn,1,308,6,6,P,0,104,0,0,0,0,0,170000,12.043553716032399,13.152946437965905,48,12.089473958411261,12.405730522642495,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.08974542005515,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
45,70.0,7945,Reg,Lvl,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,0.0,6,6,CBlock,6,6,2,8,179,6,506,465,1150,GasA,10,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,6,6,Typ,0,Attchd,1959.0,RFn,1,300,6,6,Y,0,0,0,0,0,0,0,141000,11.856515169360305,13.30413469565007,47,12.089473958411261,11.886403966176834,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,11.996026721745856,12.055883004723798,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
46,61.0,7658,Reg,Lvl,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,412.0,10,6,PConc,10,6,2,10,456,0,0,1296,1752,GasA,10,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,10,6,Typ,1,Attchd,2005.0,RFn,2,576,6,6,Y,196,82,0,0,0,0,0,319900,12.675763725937609,15.524174696260024,5,12.211076913552303,12.622085831179234,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.090205681140608,12.03852729172279,12.04297054076434,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,0,1,0
47,48.0,12822,IR1,Lvl,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,0.0,8,6,PConc,10,6,2,10,1351,0,0,83,1434,GasA,10,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,8,6,Typ,1,Attchd,2003.0,RFn,2,670,6,6,Y,168,43,0,0,198,0,0,239686,12.387085012375499,15.524174696260024,6,11.831932669447502,11.956185114275996,12.122790588337043,11.828828956657523,12.419782568084697,12.07938068505317,12.076290736193817,12.07779547308771,12.04822541334727,12.01580906774792,11.809537935756566,1,0,0,1,0,0,0,1,0,1,0,0
48,84.0,11096,Reg,Lvl,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,8,6,PConc,8,6,6,10,24,0,0,1632,1656,GasA,10,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,8,7,Typ,0,Attchd,2006.0,RFn,3,826,6,6,Y,0,146,0,0,0,0,0,249700,12.428015476267865,15.362291495737216,1,12.089473958411261,12.318596663339227,12.267151247365643,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.08974542005515,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,1,0,0,1,0,0,1,0,0
50,66.0,7742,Reg,Lvl,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,0.0,6,6,CBlock,6,6,2,6,763,0,0,192,955,GasA,10,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,6,6,Typ,0,Attchd,1966.0,Unf,1,386,6,6,Y,0,0,0,0,0,0,0,127000,11.751942365440728,10.63014581273465,41,12.089473958411261,11.820504356412277,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.044744404451235,12.074906013798504,12.01580906774792,12.028866723037432,1,0,0,0,1,0,1,0,0,1,0,0
52,52.0,6240,Reg,Lvl,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,6,6,PConc,6,6,2,0,0,0,0,816,816,GasA,6,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,6,6,Typ,1,Detchd,1985.0,Unf,2,528,6,6,Y,112,0,0,0,0,0,400,114500,11.648330101976432,8.717797887081348,56,11.831932669447502,11.777799561019519,11.730064516463871,11.828828956657523,12.03858282628616,12.07938068505317,12.076290736193817,12.154898366543211,12.055883004723798,12.01580906774792,12.028866723037432,0,1,0,0,1,0,1,0,0,1,0,0
53,110.0,8472,IR2,Bnk,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,4,6,CBlock,8,6,8,2,104,10,712,0,816,GasA,6,N,SBrkr,816,0,0,816,1,0,1,0,2,1,6,5,Typ,0,CarPort,1963.0,Unf,2,516,6,6,Y,106,0,0,0,0,0,0,110000,11.608235644774552,16.401219466856727,47,11.867771952964134,11.481589810450474,11.730064516463871,12.044707822362533,12.0483455291029,12.155433416103719,11.867771952964134,11.996026721745856,12.04297054076434,12.01580906774792,12.028866723037432,0,0,1,0,1,0,0,0,1,1,0,0
54,68.0,50271,IR1,Low,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,0.0,8,6,CBlock,10,6,8,10,1810,0,0,32,1842,GasA,8,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,8,5,Typ,1,Attchd,1981.0,Fin,3,894,6,6,Y,857,72,0,0,0,0,0,385000,12.86099861326992,17.435595774162696,19,12.089473958411261,12.429550291790944,12.122790588337043,12.044707822362533,12.03858282628616,12.07938068505317,12.076290736193817,12.105024451611023,12.055883004723798,12.01580906774792,12.028866723037432,1,0,0,0,0,1,0,1,0,1,0,0
